"objectId","objectName","Activity","Description"
"131685","Burger","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613028","3.869493","106.80000305175781","83.0","1.5811","2014-04-10T10:33:50.754Z"
"2","43.613066","3.869558","98.19999694824219","295.0","1.5811","2014-04-10T10:34:00.752Z"
"3","43.613029","3.86968","97.4000015258789","119.0","0.75","2014-04-10T10:34:05.765Z"
"4","43.613029","3.86968","97.4000015258789","119.0","0.75","2014-04-10T10:34:10.820Z"
"5","43.613031","3.869822","96.80000305175781","0.0","0.0","2014-04-10T10:34:15.846Z"
"6","43.613042","3.869816","95.9000015258789","0.0","0.0","2014-04-10T10:34:20.966Z"
"7","43.613042","3.869816","95.9000015258789","0.0","0.0","2014-04-10T10:34:26.065Z"
"8","43.613018","3.869828","94.69999694824219","0.0","0.0",2014-04-10T10:34:31.133Z"
"9","43.612991","3.869843","93.5999984741211","0.0","0.0","2014-04-10T10:34:36.153Z"
"10","43.612998","3.869865","94.0","0.0","0.0","2014-04-10T10:34:39.901Z"
"11","43.612999","3.869868","93.9000015258789","0.0","0.0","2014-04-10T10:34:44.933Z"
"12","43.613009","3.869916","89.5","0.0","0.0","2014-04-10T10:34:49.963Z"
"13","43.613023","3.869973","83.5","0.0","0.0","2014-04-10T10:34:54.994Z"
"14","43.612912","3.870259","84.9000015258789","116.0","2.5","2014-04-10T10:35:01.440Z"
"15","43.612864","3.87061","101.0","119.0","3","2014-04-10T10:35:06.521Z"
"16","43.612835","3.870629","100.0999984741211","137.0","1.5","2014-04-10T10:35:11.535Z"
"17","43.612823","3.87069","99.69999694824219","111.0","0.75","2014-04-10T10:35:16.569Z"
"18","43.612804","3.870761","100.30000305175781","107.0","0.0","2014-04-10T10:35:25.423Z"
"19","43.612736","3.870851","97.80000305175781","118.0","1.5","2014-04-10T10:35:30.505Z"
"20","43.6127","3.870882","96.9000015258789","128.0","0.0","2014-04-10T10:35:35.571Z"
