"objectId","objectName","Activity","Description"
"131684","Christophe2","marche","0.0"
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.60867","3.868496","85.57532501220703","285.0","1.951","2014-04-14T06:53:26.559Z"
"2","43.608686","3.868355","85.17579650878906","287.0","1.3474","2014-04-14T06:53:32.524Z"
"3","43.608702","3.868238","83.90016174316406","280.0","1.5929","2014-04-14T06:53:37.523Z"
"4","43.608725","3.868091","83.91014862060547","286.0","1.7093","2014-04-14T06:53:42.670Z"
"5","43.608768","3.867955","83.78780364990234","286.0","1.7574","2014-04-14T06:53:47.785Z"
"6","43.608793","3.867841","83.81427764892578","292.0","1.7706","2014-04-14T06:53:52.802Z"
"7","43.608846","3.867719","83.30303192138672","301.0","1.9195","2014-04-14T06:53:57.828Z"
"8","43.608872","3.867586","82.28939056396484","298.0","1.8481","2014-04-14T06:54:03.525Z"
"9","43.608925","3.867469","81.77210998535156","298.0","1.9727","2014-04-14T06:54:08.526Z"
"10","43.608965","3.867345","82.15010833740234","286.0","2.0117","2014-04-14T06:54:13.610Z"
"11","43.608999","3.867253","82.8460464477539","286.0","1.8853","2014-04-14T06:54:19.528Z"
"12","43.609025","3.867163","83.45539093017578","298.0","1.841","2014-04-14T06:54:24.565Z"
"13","43.60908","3.867037","84.08222198486328","313.0","1.836","2014-04-14T06:54:30.565Z"
"14","43.60915","3.866926","84.77525329589844","311.0","1.6425","2014-04-14T06:54:36.531Z"
"15","43.609185","3.866795","84.92188262939453","294.0","1.598","2014-04-14T06:54:42.635Z"
"16","43.609236","3.866682","84.68093872070313","294.0","1.6653","2014-04-14T06:54:47.738Z"
"17","43.609259","3.866567","84.04680633544922","278.0","1.6394","2014-04-14T06:54:52.798Z"
"18","43.609276","3.866449","83.81758117675781","275.0","0.0","2014-04-14T06:54:58.254Z"
"19","43.609297","3.866322","83.64726257324219","277.0","1.6449","2014-04-14T06:55:03.320Z"
"20","43.609297","3.866204","84.24418640136719","278.0","0.0","2014-04-14T06:55:08.344Z"
"21","43.609313","3.866098","85.04218292236328","276.0","1.3986","2014-04-14T06:55:13.417Z"
"22","43.60932","3.866002","85.93000793457031","277.0","1.3584","2014-04-14T06:55:18.449Z"
"23","43.609325","3.865911","87.58705139160156","296.0","1.4013","2014-04-14T06:55:23.464Z"
"24","43.609335","3.865816","89.54302978515625","284.0","0.0","2014-04-14T06:55:28.520Z"
"25","43.609397","3.865665","91.46192169189453","283.0","1.5586","2014-04-14T06:55:33.592Z"
"26","43.609412","3.865554","92.60017395019531","331.0","1.4372","2014-04-14T06:55:38.667Z"
"27","43.609479","3.865433","93.41484832763672","320.0","1.4318","2014-04-14T06:55:42.609Z"
"28","43.609557","3.865373","94.16712951660156","342.0","1.4563","2014-04-14T06:55:47.766Z"
"29","43.609635","3.865356","95.02413940429688","345.0","1.5092","2014-04-14T06:55:52.783Z"
"30","43.609915","3.865624","98.6668472290039","50.0","1.8918","2014-04-14T06:56:10.562Z"
