"objectId","objectName","Activity","Description"
"131688","Olivier 10/04/2014","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613103","3.868717","100.70001220703125","194.0","0.0","2014-04-10T10:23:27.632Z"
"2","43.613103","3.868717","100.70001220703125","194.0","0.0","2014-04-10T10:23:32.663Z"
"3","43.613036","3.868801","106.79998779296875","126.0","1.3761","2014-04-10T10:23:37.687Z"
"4","43.613046","3.868838","104.4000244140625","112.0","0.0","2014-04-10T10:23:42.721Z"
"5","43.613046","3.868838","104.4000244140625","112.0","0.0","2014-04-10T10:24:12.440Z"
"6","43.613013","3.869348","104.0","111.0","1.5012","2014-04-10T10:24:17.455Z"
"7","43.613019","3.869407","102.0","115.0","0.0","2014-04-10T10:24:22.470Z"
"8","43.613019","3.869407","102.0","115.0","0.0","2014-04-10T10:24:37.504Z"
"9","43.613049","3.869738","98.5","95.0","1.1884","2014-04-10T10:24:42.524Z"
"10","43.613053","3.869773","97.29998779296875","86.0","0.0","2014-04-10T10:24:47.528Z"
"11","43.613002","3.869798","95.5999755859375","128.0","0.0","2014-04-10T10:24:52.377Z"
"12","43.613002","3.869798","95.5999755859375","128.0","0.0","2014-04-10T10:25:24.920Z"
"13","43.612836","3.870296","94.5999755859375","116.0","1.251","2014-04-10T10:25:29.968Z"
"14","43.61284","3.870327","93.9000244140625","116.0","0.0","2014-04-10T10:25:35.919Z"
"15","43.61284","3.870327","93.9000244140625","116.0","0.0","2014-04-10T10:25:40.965Z"
"16","43.612785","3.870534","97.29998779296875","129.0","1.6263","2014-04-10T10:25:46.890Z"
"17","43.612756","3.870586","98.0999755859375","134.0","0.0","2014-04-10T10:25:52.518Z"
"18","43.612756","3.870586","98.0999755859375","134.0","0.0","2014-04-10T10:26:07.565Z"
"19","43.612647","3.870868","101.9000244140625","127.0","0.0","2014-04-10T10:26:12.580Z"
"20","43.612647","3.870868","101.9000244140625","127.0","0.0","2014-04-10T10:26:22.602Z"
"21","43.612666","3.871113","103.9000244140625","106.0","1.5638","2014-04-10T10:26:27.619Z"
"22","43.612654","3.871189","104.29998779296875","114.0","1.4387","2014-04-10T10:26:32.633Z"
"23","43.612611","3.871247","104.4000244140625","128.0","1.1884","2014-04-10T10:26:37.648Z"
"24","43.612649","3.871355","104.20001220703125","73.0","2.1892","2014-04-10T10:26:42.664Z"
