"objectId","objectName","Activity","Description"
"131686","Carré du Roi","marche","0.0"
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.613015","3.868822","67.0","84.0","1.6771","2014-04-10T10:24:30.437Z"
"2","43.61304","3.868826","73.0","0.0","1.5","2014-04-10T10:24:35.637Z"
"3","43.613081","3.868795","79.0","0.0","1.5","2014-04-10T10:24:40.642Z"
"4","43.613082","3.868825","86.0","90.0","1.8028","2014-04-10T10:24:45.645Z"
"5","43.613088","3.869015","80.0","108.0","3.3541","2014-04-10T10:24:50.648Z"
"6","43.613066","3.869213","79.0","104.0","3.5795","2014-04-10T10:24:56.817Z"
"7","43.613093","3.869556","84.0","89.0","5.9424","2014-04-10T10:25:01.986Z"
"8","43.612946","3.870106","86.0","106.0","4.7434","2014-04-10T10:25:10.649Z"
"9","43.612881","3.870379","87.0","106.0","4.7434","2014-04-10T10:25:15.648Z"
"10","43.612803","3.870678","87.0","107.0","5.4601","2014-04-10T10:25:22.050Z"
"11","43.612786","3.870911","88.0","100.0","5.4601","2014-04-10T10:25:24.644Z"
"12","43.612764","3.871169","84.0","103.0","4.9812","2014-04-10T10:25:31.762Z"
"13","43.612701","3.871506","83.0","107.0","4.9812","2014-04-10T10:25:36.794Z"
"14","43.612649","3.871873","84.0","92.0","2.7042","2014-04-10T10:25:44.655Z"
"15","43.612615","3.872026","88.0","107.0","3.5795","2014-04-10T10:25:51.739Z"
"16","43.612538","3.872271","91.0","102.0","3.5795","2014-04-10T10:25:56.785Z"
"17","43.612644","3.872532","94.0","82.0","2.3049","2014-04-10T10:26:04.654Z"
"18","43.612608","3.872658","95.0","118.0","2.3049","2014-04-10T10:26:09.652Z"
"19","43.612445","3.872779","97.0","152.0","2.3049","2014-04-10T10:26:19.647Z"
"20","43.612413","3.872898","95.0","114.0","2.3049","2014-04-10T10:26:24.639Z"
"21","43.612344","3.873012","94.0","144.0","2.9155","2014-04-10T10:26:29.641Z"
"22","43.612232","3.873106","94.0","140.0","2.9155","2014-04-10T10:26:36.739Z"
"23","43.612089","3.873428","96.0","129.0","2.9155","2014-04-10T10:26:44.649Z"
"24","43.612036","3.873625","93.0","123.0","2.9155","2014-04-10T10:26:49.657Z"
"25","43.611942","3.873774","96.0","142.0","2.9155","2014-04-10T10:26:56.954Z"
