"objectId","objectName","Activity","Description"
"131687","Christophe 10/04/2014","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"1","43.612243","3.873429","94.47408294677734","0.0","0.0","2014-04-10T10:30:32.903Z"
"2","43.612243","3.873429","99.67647552490234","0.0","0.0","2014-04-10T10:30:38.896Z"
"3","43.61215","3.873577","93.12203979492188","0.0","0.0","2014-04-10T10:30:45.970Z"
"4","43.612138","3.873641","91.41919708251953","0.0","0.0","2014-04-10T10:30:51.370Z"
"5","43.612083","3.873754","89.68716430664063","0.0","1.2037","2014-04-10T10:30:56.797Z"
"6","43.612042","3.873842","88.71295166015625","0.0","0.0","2014-04-10T10:31:01.897Z"
"7","43.611804","3.873861","0.0","12.568","0.0","2014-04-10T10:31:24.521Z"
"8","43.611781","3.87383","0.0","14.625","0.0","2014-04-10T10:31:29.883Z"
"9","43.611665","3.873785","0.0","16.001","0.0","2014-04-10T10:31:40.422Z"
"10","43.611578","3.874342","97.03312683105469","0.0","0.0","2014-04-10T10:32:12.899Z"
"11","43.611574","3.874338","97.12992858886719","0.0","0.0","2014-04-10T10:32:14.887Z"
"12","43.611528","3.874387","99.22882843017578","0.0","1.2685","2014-04-10T10:32:20.199Z"
"13","43.611475","3.874433","101.89369201660156","0.0","1.1591","2014-04-10T10:32:26.583Z"
"14","43.61142","3.874494","103.40575408935547","146.0","1.2626","2014-04-10T10:32:30.914Z"
"15","43.611378","3.87453","104.75655364990234","156.0","0.0","2014-04-10T10:32:36.007Z"
"16","43.611332","3.874565","106.69974517822266","163.0","0.0","2014-04-10T10:32:41.906Z"
"17","43.61132","3.874602","108.0531234741211","147.0","0.0","2014-04-10T10:32:46.967Z"
"18","43.611317","3.87462","108.2176284790039","147.0","0.0","2014-04-10T10:32:52.111Z"
"19","43.611349","3.875226","112.52598571777344","104.0","1.1666","2014-04-10T10:33:19.893Z"
"20","43.61086","3.876072","0.0","0.0",,"0.0","2014-04-10T10:34:12.981Z"
"21","43.610867","3.876067","0.0","0.0","0.0","2014-04-10T10:34:14.957Z"
"22","43.610729","3.876383","107.9011459350586","131.0","1.1829","2014-04-10T10:34:31.957Z"
"23","43.61069","3.876455","107.37334442138672","104.0","1.0898","2014-04-10T10:34:37.902Z"
"24","43.610651","3.876525","106.39796447753906","101.0","1.1123","2014-04-10T10:34:42.905Z"
"25","43.610595","3.876577","105.22865295410156","107.0","0.0","2014-04-10T10:34:47.912Z"
"26","43.610569","3.876565","105.15504455566406","107.0","0.0","2014-04-10T10:34:53.291Z"
"27","43.610538","3.876549","104.63822937011719","196.0","0.0","2014-04-10T10:34:57.913Z"
"28","43.610478","3.876524","103.53994750976563","206.0","0.0","2014-04-10T10:35:03.274Z"
"29","43.610409","3.876584","101.92573547363281","129.0","0.9646","2014-04-10T10:35:08.922Z"
"30","43.610378","3.876694","101.74301147460938","143.0","1.0284","2014-04-10T10:35:14.003Z"
"31","43.61034","3.876841","101.88360595703125","176.0","1.0104","2014-04-10T10:35:20.320Z"
